Wehrmacht	ver-mákt
Simeon	szimijon
Simon	shi-mon
Simon	szájmon
Smolin	szmolin
Smuts	szmútsz
Soissons	szoászónsz
Steven Weinberg	sztívön vájn-berg
Strasbourg	shtrasz-burg
Suetonius	szvetónijusz
Szuez	szu-ez
Szuezi	szu-ezi
Tacitus	tatcitusz
Talleyrand	táleran
Tennessee	tenesszi
TENNESSEE	tenesszi
Theodosius	teo-dóziusz
Theodosius	teodózijusz
Thiers	szírsz
Tiberius	tibériusz
Vercingetorix	verszan-zsétoriksz
versailles	verszáj
Versailles	verszáj
Vilnius	vil-nijusz
Virginia	virdzsínija
Wall Street	vól sztrít
Wallenstein	vállenstejn
Washington	vasington
World	vörd
Abdallah	abd-allah
Abdiel	ebdijel
Abdus Salam	ábdusz szálám
Abélard	ábelár
Abell	öbell
Abetz	ábetc
Ábrahám	ábra-hám
Abram	ébrem
Abwehr	ábver
Academy	eködemi
Acatl	ákátöl
Accel	ésszel
Access Hollywood	ökszesz hálivúd
Áchim	áhim
Acquarone	ákvárón
Acromát	ákromát
Acton	ekton
Adalbert	ádálbert
Adam Eaglin	edem íglin
Adam Mosseri	edem moszöri
Adam Riess	edem rísz
Adamick	edemik
Adams	edemsz
Addisz-Abeba	adisz abeba
Addisz-Abebában	adisz abebában
Adelhaid	ádelájd
Adenauer	áde-nauer
Adidas	adidasz
ADL	ádéel
Admiral Graf Spee	edmiröl gráf spé
Admiral Scheer	edmirÖl sér
Adolf	a-dolf
Adolf Slabynak	ad-olf szléjbinek
Adria	ad-rija
Adrian Chen	édrien csen
Aduáért	áduáért
Advance Study	ödvensz sztádi
Advanced Study	ödvenszd sztádi
Advertisernek	edvörtájzörnek
Advertising Week	edvötájzing vík
Aegates	égátesz
AEGON	e-gon
Aehrenthal	érentál
Aelia Sabináé	élija szabiné
Aelius Hadrianust	élijusz hadrijánuszt
Aelius Seianus	élijusz szejjánusz
Aemilianus	émilijánusz
Aemilius Lepidus	émilijusz lepidusz
Aeneas	éneász
Aeneás	éne-ász
Aeneis	énejisz
Aerocobrákra	áerokobrákra
Aerospatiale	erosz-péjsöl
Aetius	écijusz
Africa	afrika
Africát	afrikát
Agade	ágáde
Agamemnon	aga-mennón
Agatha Christie	ágátá kriszti
Agorán	agórán
Agorát	agórát
Agricola	agrikóla
Agrobank	agro-bank
Agustín Iturbide	agusztín iturbídé
Ahrens	árensz
Ahuja	áudzsa
AI	éj-áj
AIDS	édsz
Aigyptos	ajgüptosz
Aira	ajra
Airá	ajrá
Aircraft Interception	erkraft intörszep-sön
Aires	ájresz
Ajacciót	ázsekszijót
Akbart	ákb-árt
Akhaimenész	akháj-menész
Akhaimenida	akháj-menida
Akhaiosz	akhájjosz
Akhitófel	áktiófel
Akin	ákin
Al Capote	ál-kápóne
Aladdin	ala-din
Alamein	álámejn
Alamo	álámó
Alamos National Laboratory	álámosz nesönel lábrátori
Alan	el-len
Alan Aspect	e-len eszpekt
Alan Brooke	el-len brúk
Alan Guth	e-len gút
Alan Lightman	e-len lájtmen
Alan Turing	ellen tyúring
Alanis Moris	elenisz morisz
Alanis Morisette	elelnisz moriszet
Alarick	álárik
Albert	al-bert
Albert Bosma	álbert boszná
Albert Camus	albert kámű
Albert Einstein	albert ejn-shtejn
Albert Roden	álbert ro-den
Albert Schmid	elbört shmitt
Albert Scmid	elbört shmitt
Albi	álbi
Albin	álbin
Albrecht	álbrecht
Albrecht Haushoferrel	albreht hauszhofferrel
Alcazar	álkázár
Alcazart	álkázárt
Alcohol	alkohol
Alcubierre	álkubír
Aldebaran	áldebarán
Aldershotnál	eldersotnál
Aldo Ray	áldó réj
Aldrint	ald-rint
Alea iacta est	álejá jáktá eszt
Aleksandr Kogan	álekszándr kogán
Alekszandr Selepin	álekszándr selepin
Alerwon	álervon
Alesia	álesziá
Aletwonon	áletwonon
Aleut	áleut
Alex	áleksz
Alexandemak	alek-szandernak
Alexander	álekszánder
Alexander Friedman	álekszánder frídmen
Alexander Graham Bell	elökszendör grehem bell
Alexander Pope	álekszánder póp
Alexandre Dumas	álekszándr dümá
Alexandria	alek-szandria
Alexandrinus	alek-szandrínusz
Alexios	álekszijosz
Alexis	álek-szisz
Alfa Centauri	alfa kentauri
Alfonso	álfonzó
Alfonso Arriega	alfonzó árijega
Alfred	álf-red
Alfred Dreyfus	elfred drejfusz
Alfred Naujocks	álfred nójdzsoksz
Alfredo Stroessner	álfrédó sztrösszner
Algeciras	álheszírász
Alhazred	álházred
Alibaba	ali-baba
Alice	elisz
Alice Keezart	elisz kízárt
Alick Hale Munrónak	álik hél mun-rónak
Alighieri	áligijéri
Aliis	elisz
Alit	al-it
Alka-Seltzerei	alka szelcerei
Alka-Seltzerjét	alka szelcerjét
Alka-Seltzerrel	alka szelcerrrel
Alka-Seltzert	alka szelcert
Alkman	alk-man
Allah	allach
Allamokat	államokat
Allamokra	államokra
Allan	el-len
Allan Dullesszel	el-len dállesszel
Alleghany	aligeni
Allemagne	álemány
Allende	állende
Alles	állesz
Alley	elli
Allianz	ali-ansz
Allied Commander	ölájd kománder
Allis Chalmers Manufacturing	elisz shálmörz menöfekcsöring
Allosimanius Syneca	áloszimániusz szineka
Allosimanius Synecán	áloszimániusz szinekán
Alois Hudal	álojisz hudál
Alonzo	álonzó
Alos	álosz
Alperes	al-peres
Alphabet	álfábet
Alpha-Zero	alfa-zéró
Alpher	álfer
Alpher-Bethe-Gamow	álfer-bész-gámov
Alphonse Bertillon	álfonz bertijón
Alta Vista	al-ta viszta
Altamira	alta-míra
Alto	alto
Altruist	altruiszt
Alva	alv-a
Alva Edison	a-lva ediszon
Alvadnia	alvadnia
Alvarenga	álvárengá
Álvares	álvárez
Alvearig	álveárig
Amaltheia	amaltejja
Amar	ámár
Amazon	ama-zon
Ambrose Bierce	embróz bírsz
Ambrose Harmon	embróz hármon
Ambrosio	ambrózijó
Ambrosiót	ambrózijót
Amegliai Acélhátú	ameglijai acélhátú
Amenemhat	ámenemhát
Amenhotep	ámenhotep
America	ömerika
American	ömeriken
American Civil Alliance	ömeriken szivil ölájönsz
American Civil Liberties	ömeriken szivil libertíz
American Edge	ömeriken edzs
American Enterprise Institute	ömeriken entörprájsz insztitút
American Express	emeriken ekszpressz
American Israel Public Affairs Committeeig	ömeriken isztáel páblik öfférz komitéig
American Journal	ömeriken dzsúrnel
American Progress	ömeriken prágresz
American Psycholgical Society	ömeriken pszikolodzsiköl szoszájöti
Amerika	ame-rika
Amerikai Pszichológiai Társaság	amerikai pszihológiai társaság
Amerindian	emerindien
Amhem	árn-hem
Amin Zoufonoun	amin zöfonáun
Ammianus Marcellinus	ámijánusz márcellínusz
Amnesty International	emneszti internesönöl
Amon	ámon
Amón	ámón
Amphipolisz	amfipolisz
Amsterdam	amszterdam
Amtman	amt-mán
Amulius	amuliusz
Amundsen	amunzen
Analytica	analitika
Anastasius	ánásztáziusz
Anatolia	ana-tólia
Ancien	ánszijen
Andalsnesnél	ándálsznesznél
Anders	ándersz
Andersenhez	enderszhez
Anderson	enderszon
Anderwood Johnson	ándörvúd dzsónzon
André Maginot	andrÉ mázsínó
Andreanum	ándrejánum
Andreas Albrecht	ándreász elbrecht
Andreas Treichl	ándreász rejcsl
Andreessen	endresszen
Andrej	and-rej
Andrej Linde	ándrej lind
Andrej Szaharov	ándrej száhárov
Andreotti	ándreotti
Andrew	endrú
Andrew Barnes	endrú bárnsz
Andrew Bosworth	endrú bószvörsz
Andrew Carnegie	endrú kárnegi
Andrew Cumingham	endrú káningem
Andrew Duncan	endrú dánken
Andrew Ross Sorkin	endrú rossz szorkin
Andrewsszal	endrúzzal
Andromeda	androméda
Andronicus	andrónikusz
Andronova	andro-nova
Andropov	andro-pov
Andy Grove	endi grúv
Andy Vajna	endi vajna
Aneurin Bevan	áneurin beván
Anfa	ánfá
Angel	éndzsöl
Angeles	ándzselesz
Angelesbe	ándzseleszbe
Angers	ándzsersz
Angramainju	angramanzsú
Angwin	engvin
Anhondo	ánondó
Anjeynek	ánzsejnek
Anjie	enzsí
Anjou	anzsú
Ankara	ankarra
Anna Karenina	anna karenyina
Annába	annába
Annales	ánnálesz
Annapolis	ánápolisz
Annapolisba	ánápoliszba
Anne Shingleton	ánn singölton
Annunziata	ánnunszijátá
ANNUS	ánnusz
Anonymus	ano-nímusz
Anson	ánszon
Antaeus	ánteusz
Antaiosz	ántájjosz
Antares	ántáresz
Antarus	ántárusz
Ante	án-te
Ante Pavelic	án-te pávelics
Antelat	ántelát
Anthony Scaramucci	entoni szkárámuccsi
Anti-Defamation League	enti-deföméstön líg
Antifa	antifa
Antillák	antil-lák
Antimachiavelli	anti-mákjávelli
Antiochia	antijóka
Antiochiát	antijókiját
Antitrust	antitröszt
Anton	enton
Anton Koekemoer	enton kőkemóer
Antonescu	antoneszku
Antonin Scalia	antonin szkália
Antoninus Caracallát	antóninusz kárkállát
Antoninusok	antónijuszok
Antonio	antónió
Antonio Vargas	ántónió várgász
Antoniusé	antónijuszé
Antoniusnak Augustus	antónijusznak augusztusz
Antoniusok	antónijuszok
Antoniusszal	antónijusszal
Antti Amatus Aarne	anti ámátusz árné
Antwerpen	ant-verpen
anus mundi	ánusz mundi
Anzeli	ánzeli
Anzio	ánzijó
ANZUS	ánzusz
Aphidoknak	áfidoknak
Aphrodité	afrodité
Apollo	apolló
Appel	áppel
Appeleken	áppeleken
Appelplatzon	áppel-plátcon
Appenninek	appeninnek
Appia	appija
Appianosz	appijánosz
Appius Claudius Caecusról	appijusz klaudijusz tcekuszról
Applc	epöl
Apple	epöl
Apponyi	aponyi
April Eubank	épril őbenk
Apuleius	ápulejjusz
Apuliában	apúlijában
Aquae Sextiae	ákvé szeksztijé
Aquila	ákvilá
Aquileiát	ákvilejját
Arabfia Desert	arábia dezert
Arabia Petraea	arábija patreja
Arad	a-rad
Aran	árán
Aranda	árándá
Aranyfülcmipát	arany-fülcimpát
Arbeitskommando Krematorium	árbájtsz-kommandó krematórium
Arbeitslager	árbájtsz-láger
Arbela	árbelá
Arcadius	árkádijusz
Archibald	ár-cs-ibáld
Archibald Sinclair	ár-tschibáld szinkler
Archie Bunker	árcsi bánkör
Archives	örhájvsz
Arciszewskivel	árcsiszevszkivel
Arcturus	árkturusz
Arcturus Megagint	arktúrusz megadzsint
Ardahánra	ardahánra
Ardaser	árdászer
Ardelia	árdélija
Ardeliát	árdéliját
Ardennek	ard-ennek
Area	áreá
Arens	árensz
Arész	árész
Argabuthon	arga-buton
Argadeisz	argadejisz
Argentan	arzsantan
Argentia	arg-entína
Argentin Köztársaság	arg-entín köztársaság
Argentína	arg-entína
Argentínába	arge-ntínába
Argentínát	argen-tínát
Argentínával	arg-entínával
Arglebard Erdejének	árglebárd erdejében
Argolisz Thébai	argolisz tébaji
Argoliszból	argoliszból
Argus	árgusz
Ariete	árijet
Arieteés	árijetész
Arimateai	arim-ate-ai
Arimathiai	ari-matijai
Arirnateai	arim-ate-ai
Aristobulus	arisztobulusz
Arisztagorasz	árisztágorász
Arisztogeitón	arisztogejtón
Arium	árium
Arizona	arizóna
Arizona State University	arizóna sztéjt júnivörziti
Arizonában	arizónában
Arizonát	arizónát
Arkansas	árkánzász
Arkham	árkám
Arkhelaosz	árke-leosz
Arkintoofle Minoron	árkin-túfl min-oron
Arlington	árlington
Arlonnál	árlonnál
Armada	arm-ada
Armani	ármáni
Armenia	árménija
Armeniát	árméniját
Armia Krajowa	ármijá krájova
Armija Krajowa	ármijá krájová
Armstrong	armsztrong
Arnhem	árnhem
Arno	árnó
Arnó	árnó
Arno Dührer	arnó dűrer
Arno Penzias	árnó penzíász
Arnus	árnusz
Aronczyk	ároncsik
Arras	árrász
Arretium	árrecijum
Arrighi	ari-gi
Arromanches	áromansh
Arrow	eró
Arsakidák	árszákidák
Artaphernész	ártáfernész
Arte	árte
Arthasásztrát	ártásásztrát
Arthur Behrend	artrúd berend
Arthur Brooks	artúr brúksz
Arthur Conan Doyle	artúr konen dójl
Arthur Eddington	ártúr edington
Arthur Evans	artúr ívönsz
Arti	árti
Artner	ártner
Artrifactovol	artifaktóvol
Artur	artúr
Arty	árti
Aruba	aruba
Arzt	ártc
Aschner	áshner
Aseed	összíd
Asgard	ászgárd
Ásgard	ászgárd
Asgardról Boám Catharsee	ászgárdból boám kátárzé
Ashin Wirathu	esvin virátu
Ashley Estes Kavanaugh	eshli esztez kevenó
Ashley Kavanaugh	eshli kevenó
Ashowvia	ásóvvija
Asia	ázsija
Asikaga	ashi-kaga
Asóka	asóka
Aspen Centerben	eszpen tcenterben
Associated Pressnek	összósiéjtid pressznek
Association	összósiéjsön
Assur	asszúr
Asszad	ásszád
Astarté	ásztárté
Astor	ásztor
Astornak	asztornak
Astra	asztra
Astrának	asztrának
Astrophysics	asztofiziksz
Asztrahany	asztrahány
Atacama	atakama
Atal	átál
Atalantában	atlan-tában
Atargatisz	átárgátisz
Athanasius	átánázijusz
Athelstan	átelsztán
Athena Varounis	áténá várúnisz
Athib	átib
Athok	atok
Atlamos	atlamosz
Atlanaatban	atlanatban
Atlantic	etlentik
ATLAS	atlasz
Aton	áton
Atsra	ác-rá
Attilá	atilá
Attiláig	atilláig
Attlee	etlí
Atum	átum
Atüsz	átüsz
ATV	átévé
Auchinleck	okillek
Audacity	ódösziti
Audi	au-di
Auer	au-er
Auerstadt	au-ersh-tátt
Auger Cosmic	au-ger kozmik
Augsburg	augsz-burg
Augsburgban	augsz-burgban
Augsburgból	au-gszburgból
August Bebel	auguszt bébl
August Derleth	ogüszt derlet
Augusta	aguszta
Augusti	aguszti
Augustulust	agusztuluszt
Augustus	augusztusz
Augustuskorival	augusztusz-korival
Augustusnak	augusztusznak
Augustusnál	augusztusznál
Augustusról	augusz-tuszról
Augustusszal	augusztusszal
Augustustól Neróig	augusztusztól néróig
Augusz	augusz
Auguszteonig	auguszteónig
Augusztus	augusztus
Aulus Vitelliust	aulusz vitélijusz
Auphan	ófen
Aurangzeb	áurángzeb
aurea mediocritas	aurejá medijokritász
Aurelianus	aurélijánusz
Aurelius Antoninus	aurélijusz antonínusz
Aurelius Getát	auréliusz gétát
Aurora	au-róra
Auschwitz	ausvitc
Auschwitzhoz	ausvitchoz
Austen Chamberlain	ószten csembörléjn
Austerlitz	aushterlitz
Austin	ósztin
Australia	ausztrálija
Australopithecus	ausztrálopitekusz
Austrasia	ausztrázija
Austrasiára	ausztrázijára
Austria	auszt-rija
Austriának	ausztriának
Auto	au-tó
Avalars	áválársz
Avenida	ávenídá
Aventinus	áventínusz
Avenue	evönyú
Avenue Strategies	evönyú sztretödzsíz
Aversában	áverszában
Avignon	avinyon
Avon	a-von
Avram Iancu	ávr-ám jántzu
Avranches	evrencsiz
Axios	eksziosz
Aynesworth	éjnszvörsz
Baal	bál
Baál	bál
Baalátot	bálátot
Babat	bab-at
Babenberg	báden-berg
Babeuf	báböff
Babilon	babi-lon
Babrujszk	babrujszk
baccalaureatum	bákkáláureácum
Bach-Zelewski	bah-zelevszki
Background Explorer	bekgráund explorer
Baden	báden
Badenben	bádenben
Badeni Lajos	bádeni lajos
Badoglio	bádojjó
Badoglió	bádojjó
Baelen	bélen
Bagni	bányi
Bagratyion	bágrátijón
Bagratyon	bágrátijón
Bahama	bah-ama
Bahcall	bákól
Baidu	bajdu
Baileyék	béjli-ék
Baileyvel	béjlivel
Bakich	bákikh
Balbi	bálbi
Baldigara	báldigárá
Baldwin	bóldvin
Baleári	bále-ári
Balfour	bálfor
Balhas	bálhász
Ball	ból
Ballhausplatz	báll-hausz-plátz
Balling	bálling
Balof	bálov
Balogh	balog
Balthasar Simunich	baltazár szimunics
Balti	bal-ti
Baltimore	báltimór
BAM	bám
Bana	ba-na
Banai	banaj
BANCO STEUBEN	bánkó sztójben
Bang	beng
Banglades	bang-lad-esh
Banken	bán-ken
Banque	bánk
Banquo	bánkó
Bantam	bán-tám
Barack Obama	barak o-bama
barbaricum	bárbáríkum
Barbaross	barba-rossz
Barbarossa Hairaddin	barbarossza hájrádin
Barbarossának	barbarosszának
Barbemél	bár-bernél
Barbie	barbi
Barcelon	berszelón
Barcelona	barszelóna
Barcelonában	barszelónában
Barcelonát	barszelónát
Barclays	bárklíz
Barcsay	bar-csai
Barcza	bartca
Bardi	bárdi
Bardini Múzeum	bárbíni múzeum
Bardira	bárdirá
Bardit	bárdit
Bardwell	bárdvell
Barents	bárensz
Bargello	bárdzselló
Barham	bárhám
Bariba Macleannek	báribá mekléjnnek
Barkosiba	bárkóziba
Barnard	Bár-nárd
Barnard College	bárnörd kálidzs
Barnes	bárnsz
Barneville	bárnvill
Baron	bárón
Baron Cohen	báron ko-en
Barras	bárá
Barratt	bárát
Barrere	bárrére
Barry Bennett	berri benett
Barry Fitzgerald	berri fidzseráld
Barry Manilow	beri mániló
Bars	barsh
Bartha	barta
Bartholomeus Gothan	bártolómeusz gotán
Barthou	bártó
Bartlett	bárt-let
Bartolomeo Corsi	bártolómeó korzi
Barzoo	bárzú
Basarab	bászáráb
Basel	bázel
Baselben	bázelben
Bass	bássz
Bassée	bász-szé
Basta	básztá
Bastablon	básztáblon
Bastát	básztát
Bastille	básztíj
Bastogne	básztony
Batard-Montrachet	bátár moráse
Batchelomak	becselornak
Batchelor	becselor
BATF	béjátéeff
Báthoryak	bátorinak
Bathurstnél	bátörsztnél
Batista	bátiszta
Battle Creek	betöl krík
Batumi	bátumi
Batumitól	bátumitól
Baudouin	búdoán
Bauer	bau-er
Baumol	bau-mol
Bawdsey	bódzi
Bayerische Landesbank	bájeríshe lándeszbánk
Baylar	bájlár
Baylor	bájlor
Bayonne	bájon
Bazaine	bázen
BB	bébé
BBC	bíbíszí
Beach	bícs
Beacon	bíkön
Beard	bíörd
Beardmore	bírd-mór
Beatrice	beátrícse
Beatrice Portinari	beátrísz portinári
Beatricéje	beátrícséje
Beatrix	beátriksz
Beatty	bíti
Beaufighterekre	bófájterekre
Beauharnais	böárné
Beauvais	buove
Beckensloer	bekken-szlóer
Becket	bekett
Beda Fommnál	bérá fomnál
Beda Venerabilis	bédá veneráblilisz
Beeblebabra	bíbölbabra
Beechcraft	bícskráft
Beecher-Stowe	bécher sztóv
Beethoven	bétóven
Behrend	berend
Beigbeder	béjgbídör
Bejar	bezsör
Bekenstein	bekönsztín
Bela	bel-la
Belcredi	belkredi
Belfast	belfászt
Belfegar	belfegár
Belgioioso	beldzsojózó
Belhamedet	belhemdet
Bell	bell
Bell Laboratory	bell labratori
Bellaigue	beleg
Bellessi	belesszi
Bellosguardo	belloszguárdó
Bellosguardó	belloszguárdó
Belloy	beloj
Belon	be-lon
Belos	belósz
Belsaccar	belszákkár
Belső Kaput	belső kaput
Belvedere	bel-veder
Belvederében	belve-derében
Bemard Julia	bönrörd dzsúlia
Bender-Gestalt	bender-gestált
Benedetti	Benedetti
Benelux	beneluksz
Benes	benesh
Benioff	benijof
Benito	benító
Benito Juarez	benító huárez
Benito Juárez	Benító húárez
Benito Mussolini	benító musz-szolíni
Benjamin	bendzsámin
Benjamin Disraeli	Bendzsámin dizráeli
Benjamin Franklin	bendzsámin frenklin
Bennett	benett
Benningsen	beningszen
Benny Holcomb	beni hókomb
Bentley	bentli
Berat	berát
Berchtesgaden	berh-teszgáden
Berchtold	berh-told
Bercis	berszí
Berczely	ber-tzeli
Bereg	ber-eg
Beresford-Peirse	bereszford persz
Beretta	beret-ta
Berezina	berezíná
Berganzoli	bergándzóli
Bergenbe	berg-enbe
Bergenből	berg-enből
Bergennél	berg-ennél
Bergues	berrg
Berkeley	börkli
Berko	berkó
Berlin-Dahleini	berlin-dálemi
Berlin-Dahlem Institut	berlin-dálem insztyitút
Berlin-Dahlembe	berlin-dálembe
Berlin-Dahlemi	berlin-dálemi
Bermuda	bermu-da
Bernadotte	bernádotté
Bernard	bernár
Bernard Burke	bernárd bánk
Bernard Garynek	bernárd gerinek
Bernard Montgomery	bernár mongomerri
Bernard Shaw	bernár só
Bernard Spilbury	bárnár szpilböri
Bernardo	bernárdó
Bernardo Gabellio	bernárdó gábejjió
Bernben	bernben
Berneczki Katarina	bernetzki kátáríná
Berngard	bernárd
Bernhard	bernárd
Bernhardt	bernhárt
Bernice King	börnisz king
Bernie	börnisz king
Bernthal	bernszál
Berry	berri
Bertelsman	bertölzmen
Bertram	bertrám
Bertrand	bert-rand
Bertrand Russell	bert-ran rásszöl
Besallonon	bözálónon
Besanconba	bözanszon
Besarwonba	bözárvonba
Besitze	bezitce
Bessemer	beszömer
Bessy	besszi
Betelgeuse	betöldzsőz
Béthouart	beszoárt
Béthune	bétún
Betsaida	betszájdá
Beust	bójszt
Bevelandot	bevelándot
Bevin	bevön
Beyoncé	bijonszé
Béziers	bézijé
Bezos	bezosz
Bhagavad	bágávád
bhakti	bákti
Bháradvádzsa	bárádváddzsa
BHS BAND	bí ejcs essz bend
Bhubanesvár	bubanes-vár
Bialystok	bijalisztok
Bibliotheca Corviniana	biblijotéká korvijáná
Bickert	bikert
Biden	bájdön
Bierce	bírsz
Bierdz	bírdz
Bierut	bírút
Biester	bíszter
Bifrost	bifröszt
Big Business	big biznisz
Biggin	bigön
Bigness	bájnössz
Bihar	bih-ar
Bill	bill
Billotte	bijöt
Bimmel	bim-mel
Bing	bing
Biohub	bájoháb
Birabo	birábó
Birkenau	birk-enau
Birmingbamben	börmingemben
Birminghamben Jacobiéknak	börmingemben dzsekobijék
Birminghamből	börmingemből
Birminghamet	börmingemet
Birminghamhez	börmingemhez
Birminghamről	börmingemről
Birse	bersz
Bismarck	biszmárk
Bissau-Guineával	bisszau-gíneával
Bitola	bitolá
Bizottság	bi-zott-ság
Bjetland	bjetlend
BKV	békávé
Black Harvard Women	blekk hárvárd vimin
Black Lives	blekk lájvsz
Black Lives Matter	blekk lájvsz metör
Blackwater	blekkvótör
Blaise Pascal	blézi pászkál
Blanc	blán
Blanchard	blánsárd
Blanco	blánkó
Blanqui	blánk
Blasey Ford	bléjzi ford
Blaskovics	blash-kovics
Blaze	bléjz
Blenheim	blen-heim
Bletchley	blecsli
Blindheim	blind-heim
Blitzkrieg	blitckríg
BLM	béelem
Blockführerstube	blokkfűrersz-túb
Blockij	blotc-kíj
Bloeff	blőf
Blois	bloá
Blomberg	blúmberg
Blondie	blondi
Bloomberg	blúmberg
Bloomingsdale	blúmingsz-dél
Blücher	blücher
Blue Canoe	blú kenu
Blue Robin	blú robin
Bluesban	blúzban
Blum	blúmberg
Blumenstein	blúmen-shtejn
Bnazie	bnéjz
Boám Catharsee	boám kátárszí
Bobby	bobi
Boccaccio	bokáccsó
Bocchus	bokkusz
Bocim Catharsee	bokim kátárszí
Bock	bokk
Bocskay	bocskai
Bodajkhoz	bodájkhosz
Bodónál	bodónál
Bodor	bod-or
Boehner	bőner
Boeing	bőing
Boethius	bőtijusz
Bogazkale	bogázkále
Bogus	bógus
Bohdan Paczynski	bódán pátcinszki
Boheman	bóman
Bohle	ból
Bohlen	bólen
Böhm	bőm
Bohr	bór
Boirebista	boárebisztá
Boisson	boászón
Bokrug	bókrúg
Boldt	bolt
Boleszlav	boleszláv
Boleyn	bolejn
Bologna	bolonya
Bologná	bolonyá
Bolognában	bolonyában
Boltzmann	bol-tcman
Bombay	bombéj
Bonaparte	bonápár-te
Boncompagno	bonkompánnyó
Bondarenko	bondarenkó
Bonfini	bonfíni
Bonhomme	bonóm
Bonnet	boné
Bora Mirkovic	borá mirkovics
Borchgrevink	bórcsgreving
Bordeaux	bordó
Borgiák	bordzsák
Borgiaról	bordzsáról
Borisz Podolszki	borisz podolszki
Borja Gromov	borja gro-mov
Borkum	borkum
Bormann	bor-man
Born	born
Bornemouth	bórnmáusz
Borochovskynak	borocsovszkinak
Borzrák	borzsák
Boston	boszton
Bostonból	bosztonból
Bosworth	bószvörsz
Botticelli Primavera	boticselli primávérá
Botwood	botvúd
Bouazizi	boázizi
Boudreau	bodrő
Bougie	buzsi
Bouillon Gottfried	bu-jon gotfríd
Boulang	bölanzs
Boulder	buldön
Boulevardon	bulváron
Boulogne	bulony
Boulvard	bulváron
Bourbon	búrbon
Bournemouth	börnmáusz
Bournemouthban	börnmáuszban
Bouvines	buvin
Bowerick	boverik
Bowles	bólsz
Bowman	bómen
Boyle	bójl
Bozeman	böüzmen
Bozzal	bózzal
Bracken	brekön
Brad Parscale	bred párszkél
Brahmá	brah-má
Bram Stoker	brem sztoker
Bram Stroker	brem sztoker
Brama	bráma
Bramante	brá-mánt
Brandenberger	bránden-berger
Brandenburg	bránden-burg
Brantisvog	brentiszvog
Brastában	brásztában
Bratianut	brátyánut
Bratislava	brátiszlává
Bratisvogon	brátiszvogon
Brauchitsch	brauh-tics
Brauchitschcsal	brauh-ticcsal
Brauchitschtól	brauh-ticstól
Braun	bra-un
Brcxit	brekszit
Breda	brédá
Brendan	brendön
Brendan Bracken	brendön brekön
Brenner	bren-ner
Brentwoodban	brentvúdban
Brereton	brer-eton
Brescia	bressá
